"id","loan_amnt_USD","funded_amnt_USD","int_rate","installment_USD","total_pymnt_USD","issue_date","loan_status","term_months","sub_grade","state_address","verification_status"
55817465,12000,12000,0.166172947947948,361.38,2148.36,"7","1","36","A1","2","0"
61411398,5000,5000,0.166172947947948,164.96,486.87,"10","1","36","B5","2","1"
63348442,16000,16000,0.166172947947948,502.72,998.17,"10","1","36","B1","3","0"
52406414,15000,15000,0.166172947947948,326.07,1986.9,"6","1","60","B4","3","0"
66521796,13000,13000,0.166172947947948,396.91,392.4,"12","1","36","A2","3","0"
41920227,15273.4631578947,13200,0.166172947947948,420.81,4201.38,"3","1","36","B2","4","1"
61340823,6000,6000,0.166172947947948,187.72,560.53,"10","1","36","A5","2","1"
60337081,8000,8000,0.166172947947948,251.36,998.17,"9","1","36","B1","2","1"
58633617,4800,4800,0.166172947947948,150.82,598.92,"8","1","36","B1","2","1"
51849987,6000,6000,0.166172947947948,197.95,1191.54,"6","1","36","B5","0","1"
55362062,19200,19200,0.166172947947948,440.922179176755,3007.57,"7","1","36","B1","1","1"
44077258,10000,10000,0.166172947947948,329.91,2962.78,"4","0","36","B5","3","0"
37601431,15000,15000,0.1366,346.39,4133.91,"1","1","60","C3","2","1"
46254202,18000,18000,0.166172947947948,555.13,6032.33,"4","1","36","A4","4","1"
60974435,35000,35000,0.1699,1247.68,3462.22,"10","1","60","D3","4","1"
46105059,20000,20000,0.166172947947948,434.75,3453.58,"4","1","60","B4","2","1"
59142000,35000,35000,0.1699,1247.68,4957.68,"9","1","36","D3","3","0"
43275781,15273.4631578947,11200,0.166172947947948,253.07,2522.8,"3","1","60","C2","2","1"
65261272,12575,12575,0.2199,347.24,331.88,"11","1","60","F1","1","1"
55230401,15000,15000,0.166172947947948,471.3,2814.17,"7","1","36","B1","3","0"
65985378,28000,28000,0.1318,639.67,598.67,"12","1","60","C3","0","0"
61381341,12000,12000,0.166172947947948,371.96,1111.04,"10","1","36","A4","4","1"
67235852,14000,14000,0.166172947947948,357.04,328.73,"12","1","60","E1","3","0"
65413434,3600,3600,0.1433,123.62,244.37,"11","1","36","C5","2","1"
43185993,20000,20000,0.1561,482.23,4322.73,"4","0","60","D1","3","1"
49218577,35000,35000,0.166172947947948,1174.07,8193.81,"6","1","36","C2","1","1"
54404762,7500,7500,0.166172947947948,440.922179176755,1479.78,"7","1","36","B5","1","1"
60596970,35000,35000,0.166172947947948,440.922179176755,2273.75,"10","1","60","C2","2","1"
59161774,9800,9800,0.1655,347.21,1370.82,"8","1","36","D5","2","1"
53081746,14000,14000,0.166172947947948,316.33,1888.11,"6","0","60","C2","2","0"
39652294,20000,20000,0.166172947947948,673.79,6709.03,"1","1","36","C2","1","1"
61682752,34075,34075,0.1333,440.922179176755,2318.01,"10","1","60","C3","2","1"
38078645,15273.4631578947,3875,0.1499,134.31,3687.54,"1","0","36","C5","2","0"
55491147,18900,18900,0.1699,673.75,20294.66,"7","1","36","D3","1","1"
60676961,13300,13300,0.166172947947948,443.6,3143.85094094105,"9","1","36","C1","1","1"
63450505,19825,19825,0.1855,440.922179176755,926.82,"10","1","60","E2","3","0"
38762271,13450,13450,0.2199,371.4,2211.97,"1","0","60","E5","4","1"
54078246,3000,3000,0.166172947947948,100.64,3115.46,"7","1","36","C2","3","0"
57704516,8500,8500,0.166172947947948,283.51,1411.75,"8","1","36","C1","1","1"
46536662,35000,35000,0.1655,861.4,6859.02,"5","1","60","D2","3","1"
65271965,35000,1000,0.166172947947948,1145.69,2270.01,"11","1","36","B4","1","1"
48726268,14400,14400,0.166172947947948,471.37,3753.38,"5","1","36","B4","3","1"
44025783,8000,8000,0.166172947947948,258.1,2318.46,"3","1","36","B3","1","1"
39651723,6000,6000,0.166172947947948,200.41,6262.72,"1","1","60","C1","2","1"
43800570,4950,4950,0.1465,170.75,1703.47,"3","1","36","C5","2","0"
54524104,20400,20400,0.166172947947948,443.45,2254.61,"7","1","60","B4","3","1"
40450227,7500,7500,0.166172947947948,235.69,2585.77,"1","1","36","A5","3","1"
48484532,8000,8000,0.166172947947948,268.36,2141.24,"5","1","36","C2","1","1"
42323553,12000,12000,0.166172947947948,382.55,3813.27,"3","1","36","B2","4","1"
56082406,12000,12000,0.166172947947948,382.55,1906.64,"8","1","36","B2","4","1"
62804906,35000,35000,0.1699,1247.68,2429.29,"10","1","36","D3","2","0"
38437586,34500,34500,0.1366,440.922179176755,9507.92,"1","1","60","C3","2","1"
55513620,12000,12000,0.1333,406.24,2022.31,"7","1","36","C3","2","1"
40991628,35000,35000,0.166172947947948,783.7,7813.1,"3","1","60","C1","2","1"
53744563,10000,10000,0.166172947947948,318.79,1907.65,"7","1","36","B5","3","0"
38566235,4000,1000,0.166172947947948,124.41,1491.26,"1","1","36","A4","1","0"
50466805,16000,16000,0.166172947947948,527.85,3179.4,"6","1","36","B5","0","1"
56028123,20000,20000,0.166172947947948,667.06,3321.64,"7","1","36","C1","3","0"
58652631,14000,14000,0.1399,325.69,1281,"8","0","60","C4","1","1"
65944797,30000,30000,0.2099,811.44,776.46,"12","0","60","E5","1","1"
38444939,11850,11850,0.166172947947948,399.22,4782.09,"1","1","60","C2","3","1"
42504722,5825,5825,0.166172947947948,197.2,1770.49,"3","1","36","C3","2","1"
67349191,22400,22400,0.166172947947948,686.44,0,"12","1","36","A2","0","0"
61752745,5050,5050,0.1757,440.922179176755,539.54,"10","1","36","D4","2","1"
59162018,30000,30000,0.166172947947948,989.71,3910.8,"9","1","36","B5","4","1"
60914884,25000,25000,0.166172947947948,806.57,2391.96,"10","1","36","B3","2","1"
49187606,16000,16000,0.166172947947948,333.46,2294.76,"6","1","60","B2","0","1"
62156328,10000,10000,0.166172947947948,318.79,946.18,"10","1","36","B2","2","1"
57824072,20000,20000,0.166172947947948,645.25,3215.15,"8","1","36","B3","1","0"
60782945,17000,17000,0.166172947947948,556.48,1648.68,"10","1","36","B4","1","1"
61912567,9000,9000,0.166172947947948,296.92,885,"10","1","36","B5","4","1"
43925295,15000,15000,0.166172947947948,462.61,4157.72,"3","1","36","A4","2","1"
58563231,11975,11975,0.2899,501.76,1553.49,"8","1","36","G5","4","1"
52858476,10800,10800,0.1855,277.5,3143.85094094105,"7","1","60","E2","4","1"
63978849,18000,18000,0.166172947947948,440.922179176755,1114.76,"11","1","36","B1","1","0"
48525754,3000,3000,0.1333,101.56,810.26,"5","1","36","C3","1","0"
38459802,10975,10975,0.166172947947948,440.922179176755,4077.43,"1","1","36","C2","2","1"
39651264,25000,25000,0.166172947947948,842.23,3143.85094094105,"1","1","36","C2","2","1"
42904497,30500,30500,0.1465,1052.08,10495.98,"3","1","36","C5","2","1"
65865099,10500,10500,0.166172947947948,348.71,10504.38,"12","1","36","C1","1","0"
66540939,16075,16075,0.1541,385.9,358.38,"12","1","60","D1","2","1"
52636294,7000,7000,0.166172947947948,440.922179176755,1629.58,"6","1","36","C1","2","1"
59170854,15273.4631578947,20400,0.1561,491.88,1932.14,"9","1","60","D1","2","1"
60944937,25000,25000,0.166172947947948,770.68,2241.82,"10","1","36","A3","4","0"
50343694,30000,30000,0.166172947947948,1025.19,7153.01,"6","1","36","C4","1","1"
55350824,8000,8000,0.1561,279.72,1391.66,"7","1","36","D1","0","1"
67958793,32000,32000,0.166172947947948,699.28,0,"12","1","60","B5","1","0"
58001167,15000,15000,0.1825,382.95,1516.59,"9","1","60","E1","4","0"
63440401,25000,25000,0.166172947947948,543.44,1071.62,"11","1","60","B4","1","0"
51145625,7425,7425,0.1561,259.62,1810.9,"6","1","36","D1","3","0"
61308804,5000,5000,0.166172947947948,167.73,3143.85094094105,"10","1","36","C2","3","0"
62358151,18900,18900,0.1399,645.87,1277.05,"10","1","36","C4","1","1"
43409281,22000,22000,0.1825,561.66,23701.17,"3","1","60","E1","4","1"
51817188,14400,14400,0.1465,496.72,3482.9,"6","1","36","C5","2","1"
67888311,5000,5000,0.166172947947948,156.43,0,"12","1","36","A5","2","0"
40951402,20000,20000,0.166172947947948,625.72,6865.39,"2","1","36","A5","4","1"
58350531,21000,21000,0.1561,506.34,2007.15,"8","1","60","D1","3","1"
67989735,10000,10000,0.166172947947948,334.97,292.99,"12","1","36","C2","2","1"
38568923,35000,35000,0.1786,1262.88,15085.1,"1","1","36","D5","2","1"
40919338,25000,25000,0.1333,573.06,6266.63,"2","1","60","C3","1","1"
58100934,15273.4631578947,5000,0.1333,169.27,838.94,"8","1","36","C3","4","0"
40551340,35000,35000,0.166172947947948,1043.78,11431.41,"2","1","60","G1","2","1"
53734436,35000,35000,0.166172947947948,1167.36,6980.26,"7","1","36","C1","2","1"
46804800,7200,7200,0.1655,255.1,2027.56,"4","1","36","D2","2","1"
61422184,13600,13600,0.166172947947948,427.31,1275.75,"10","1","36","B5","3","1"
61046865,10000,10000,0.166172947947948,327.34,648.57,"10","1","36","B4","2","1"
38638818,35000,35000,0.1366,1190.45,14232.28,"1","1","60","C3","2","1"
60930171,10000,10000,0.166172947947948,318.79,951.28,"10","1","36","B2","2","1"
60761817,3000,3000,0.1655,106.29,313.35,"9","1","36","D2","4","1"
48121017,14000,14000,0.1786,354.45,2807.82,"5","1","60","D5","4","1"
65934434,22000,22000,0.1757,553.53,22013.43,"12","1","60","D4","2","0"
54374515,10000,1000,0.166172947947948,301.15,1803.94,"7","1","36","A1","4","0"
51866468,10800,10800,0.1561,377.62,2256.35,"6","1","36","D1","2","0"
56080552,6000,6000,0.1699,213.89,1063.79,"7","1","36","D3","1","1"
66495006,27200,27200,0.166172947947948,850.97,0,"12","1","36","A5","4","0"
40963848,6000,6000,0.1333,203.12,2026.76,"2","1","36","H1","2","1"
42504335,35000,35000,0.2299,986.47,9820,"3","0","60","F1","2","1"
59512720,21000,21000,0.2199,579.88,1713.98,"9","1","60","F1","1","1"
59221570,9500,9500,0.166172947947948,294.47,1170.22,"8","1","60","A4","4","0"
55523661,3500,3500,0.1399,119.61,595.33,"7","1","36","C4","0","1"
43570202,15273.4631578947,21000,0.166172947947948,427.62,21260.7,"4","1","60","B1","2","1"
42315653,28000,28000,0.166172947947948,879.75,7892.3,"3","1","60","B1","3","1"
54443710,6500,6500,0.166172947947948,440.922179176755,1188.51,"7","1","36","A2","3","0"
54404926,14400,14400,0.166172947947948,471.37,2819.43,"7","1","60","B4","1","0"
40530471,35000,35000,0.1499,832.47,9128.02,"2","1","60","C5","2","1"
55544427,18000,18000,0.166172947947948,589.22,2935.11,"7","1","36","B4","2","1"
38448348,10000,10000,0.166172947947948,334.01,3143.85094094105,"1","1","36","C1","3","0"
50315163,8000,8000,0.1399,273.39,1907.51,"5","1","36","C4","2","1"
40297405,16000,16000,0.1786,405.08,4440,"1","1","60","D5","2","1"
50054225,11500,1000,0.166172947947948,361.33,2524.08,"5","1","36","B1","4","0"
67175162,9175,9175,0.1367,312.12,9227.26,"12","1","36","C4","1","1"
48716168,35000,35000,0.166172947947948,1129.19,7865.48,"6","0","36","B3","1","1"
48575842,35000,35000,0.1952,1292.19,9007.37,"5","1","36","E3","0","1"
62724181,16000,1000,0.166172947947948,502.72,1001.8,"10","1","36","B1","3","1"
60740049,22000,22000,0.166172947947948,688.29,2055.23,"9","1","36","A5","4","1"
44767027,20000,20000,0.1333,677.07,21723.13,"4","1","36","C3","1","1"
63215615,25000,25000,0.166172947947948,440.922179176755,1531.79,"10","1","36","A3","4","0"
55927677,10000,10000,0.1333,338.54,1677.89,"7","0","36","C3","2","0"
66121860,23000,23000,0.1367,531.25,496.32,"12","1","60","C4","2","0"
66260517,18800,18800,0.1999,497.99,477.11,"12","1","60","E4","3","1"
68323139,5525,5525,0.166172947947948,171.84,3143.85094094105,"12","1","36","A4","2","1"
47420609,10000,10000,0.1465,344.95,2743.32,"5","1","36","C5","3","1"
57174591,26400,26400,0.166172947947948,560.8,2228.55,"8","1","60","B3","0","1"
67355799,15273.4631578947,15750,0.166172947947948,570.99,555.07,"12","1","36","E1","3","1"
39651810,5025,5025,0.166172947947948,164.49,1806.32,"2","1","36","B4","0","0"
65805229,28000,28000,0.166172947947948,570.16,557.44,"11","1","60","B1","1","0"
56865019,10000,10000,0.1399,232.64,1155.43,"8","1","60","C4","3","1"
45142189,20000,20000,0.166172947947948,628.39,5637.33,"4","1","36","B1","1","1"
57813771,31500,31500,0.166172947947948,924.39,3653.83,"9","1","60","F4","1","1"
63385908,12000,12000,0.166172947947948,440.922179176755,767.64,"10","1","36","B3","4","1"
48001169,23700,23700,0.1786,600.03,4776.72,"5","1","60","D5","1","1"
40370940,24000,24000,0.2099,649.15,7112.66,"2","1","60","E4","2","0"
67215266,18850,18850,0.1367,641.24,18879.71,"12","1","36","C5","1","1"
46988294,4000,4000,0.166172947947948,440.922179176755,1050.64,"5","1","36","B5","3","1"
42465284,15273.4631578947,5600,0.166172947947948,186.78,5899.45,"3","1","36","C1","1","1"
39379121,6000,1000,0.166172947947948,183.87,2201.03,"1","1","36","A2","3","1"
50605612,15000,15000,0.1399,348.95,2430.99,"6","1","60","C4","0","1"
41328726,18000,18000,0.166172947947948,547.03,5464.37,"2","1","36","A1","4","0"
55151179,17675,17675,0.166172947947948,395.77,2350.48,"7","1","60","C5","4","1"
61036796,13000,13000,0.166172947947948,391.5,1342.32,"10","1","36","A1","1","1"
55807865,18350,18350,0.1757,461.69,2371.14,"7","1","60","D4","3","0"
60811434,35000,35000,0.1333,802.29,1682.33,"10","1","60","C3","2","1"
66511572,3500,3500,0.1318,118.24,115.68,"12","1","36","C3","3","1"
48374401,12000,12000,0.2299,338.22,2690.43,"5","1","60","F2","1","1"
64038460,11200,11200,0.1367,258.7,525.9,"11","1","60","C4","2","1"
39479538,8000,8000,0.166172947947948,265.68,3182.83,"1","1","36","B5","1","1"
54101211,4200,4200,0.1399,143.53,714.39,"7","1","60","C4","2","0"
50054630,14000,14000,0.166172947947948,421.61,2947.13,"5","1","36","A1","2","0"
55545307,5000,5000,0.166172947947948,164.96,818.39,"7","0","36","B5","2","1"
60862381,35000,35000,0.1757,880.61,2607.67,"10","1","60","D4","4","1"
65642699,12000,1000,0.166172947947948,375.43,388.58,"11","1","36","A5","4","0"
58151226,15600,15600,0.1757,392.5,1554.77,"8","1","60","H1","4","1"
65304811,6000,6000,0.166172947947948,209.2,0,"12","1","36","D1","1","1"
43559550,21000,21000,0.166172947947948,462.17,4206.61,"3","1","60","B5","3","1"
58602586,14000,14000,0.166172947947948,451.68,1798.95,"9","1","36","B3","0","1"
64088697,35000,35000,0.1699,1247.68,2429.29,"11","1","36","D5","2","1"
66074174,5000,5000,0.166172947947948,440.922179176755,154.24,"11","1","36","A5","4","1"
39712384,7575,7575,0.166172947947948,260.04,8209.93,"1","1","36","C4","1","1"
49228446,10800,10800,0.2499,316.94,2181.1,"5","1","60","F4","3","1"
63520029,30000,30000,0.1465,708.2,1391.98,"11","0","60","C5","4","1"
60863109,20700,20700,0.166172947947948,694.38,2053.95,"10","1","36","C2","2","1"
67355881,9000,9000,0.1699,440.922179176755,0,"12","1","36","D3","2","1"
55169421,20000,20000,0.1561,699.3,4178.46,"7","1","36","D1","4","1"
38479270,25000,25000,0.166172947947948,577.31,6331.44,"1","1","60","C3","2","1"
56007467,7500,7500,0.166172947947948,239.1,1191.68,"7","1","36","B2","2","1"
62884915,6400,6400,0.166172947947948,201.09,396.36,"10","1","36","B1","2","0"
42042025,12000,12000,0.166172947947948,367.19,3663.38,"3","1","36","A2","2","1"
40278432,15000,1000,0.166172947947948,498.15,5469.66,"1","1","36","B5","4","0"
51006442,7125,7125,0.1655,252.44,1760.53,"6","1","36","D2","3","0"
66995181,23650,23650,0.1659,582.57,0,"12","1","60","D2","0","0"
46194951,20000,20000,0.166172947947948,645.25,5796.15,"4","1","36","H1","4","1"
38496714,20000,20000,0.166172947947948,640.57,7676.3,"1","1","36","B2","2","1"
55149866,5000,5000,0.1757,179.69,1073.26,"7","1","36","D4","2","1"
57940452,8400,1000,0.1333,284.37,1731.26,"8","1","36","C3","2","1"
40393112,30550,30550,0.166172947947948,911.07,9934.19,"2","1","60","G1","3","1"
64802789,19000,19000,0.166172947947948,428.34,730.42,"11","1","60","C2","4","1"
41131433,9000,1000,0.166172947947948,294.61,2959.83,"2","1","36","B4","1","1"
40501900,25000,25000,0.1559,602.52,3143.85094094105,"2","1","60","D1","2","1"
44757224,15000,15000,0.166172947947948,491.01,4409.93,"4","1","36","B4","2","0"
41062026,11775,11775,0.1884,430.68,4294.48,"2","1","60","E2","1","1"
59180076,9000,9000,0.166172947947948,281.58,1092.79,"9","1","36","A5","1","1"
50063905,35000,35000,0.1561,1223.77,35530.87,"5","1","36","D1","2","1"
61359387,2400,2400,0.1333,81.25,170.49,"10","1","36","C3","4","1"
60285608,17000,17000,0.166172947947948,374.14,1485.67,"9","1","60","B5","4","1"
39741110,12000,12000,0.166172947947948,370.48,12605.41,"1","1","36","A3","2","0"
61449625,10000,10000,0.1333,338.54,669.67,"11","1","36","C3","0","1"
46274911,17600,17600,0.166172947947948,580.63,5203.12,"4","1","36","B5","4","0"
40157557,8000,8000,0.166172947947948,251.4,2761.76,"1","1","36","A5","1","1"
64009647,15000,15000,0.166172947947948,338.16,665.83,"11","1","60","C2","3","0"
51956160,15000,15000,0.166172947947948,494.86,3483.23,"6","1","36","B5","3","1"
38605496,11975,11975,0.2199,457.27,5000.71,"1","1","36","E5","4","0"
66590148,18500,18500,0.166172947947948,607.6,0,"12","1","36","B5","4","1"
56131383,3000,3000,0.166172947947948,100.64,498.97,"7","1","36","C2","1","0"
56582692,18000,18000,0.166172947947948,589.22,2935.11,"8","1","36","B4","1","0"
47757159,20400,20400,0.166172947947948,626.92,5007.79,"5","1","36","A5","2","1"
849994,11400,11400,0.166172947947948,376.09,3753.6,"3","0","36","B5","1","0"
66036249,30000,30000,0.1786,759.52,729.75,"12","0","60","D5","1","1"
50596728,13175,13175,0.1786,475.39,13791.04,"6","1","36","D5","0","1"
55211192,7000,7000,0.1399,239.21,1190.61,"7","1","36","C4","2","0"
43892884,12000,12000,0.166172947947948,400.24,3593.97,"3","1","36","C1","3","0"
49524911,5000,5000,0.166172947947948,152.66,5078.3,"5","1","36","A2","2","0"
62439753,14000,14000,0.1465,482.92,943.05,"10","1","36","C5","4","0"
60705360,14000,14000,0.166172947947948,308.11,14005.61,"9","1","60","B5","1","1"
46723860,15000,15000,0.166172947947948,471.3,3756.77,"4","1","36","B1","0","1"
39817918,15273.4631578947,20000,0.166172947947948,664.2,7292.88,"1","1","36","B5","4","0"
59471419,25000,25000,0.1399,581.58,3143.85094094105,"8","1","60","C4","3","0"
39359805,17600,17600,0.166172947947948,553.07,6616.82,"1","1","36","A5","2","0"
39379954,20000,20000,0.166172947947948,649.96,21181.46,"1","1","36","B3","1","1"
66436008,20000,20000,0.1655,492.23,473.84,"12","1","60","D2","2","1"
62357211,25000,25000,0.166172947947948,763.28,1517.89,"10","1","36","A2","3","0"
42632279,15273.4631578947,8000,0.166172947947948,246.73,2217.49,"4","1","36","A4","1","1"
67899249,18000,18000,0.1344,413.63,0,"12","1","60","C3","3","1"
63479830,6000,6000,0.166172947947948,183.19,362.22,"10","1","36","A2","2","0"
65816721,10000,10000,0.166172947947948,301.15,298.19,"12","1","36","A1","1","1"
59201031,29925,29925,0.2199,826.33,3213.92,"9","1","60","F5","2","1"
63216678,12000,12000,0.1855,308.33,850.79,"10","1","60","E5","2","1"
41162196,29000,29000,0.166172947947948,586.49,5934.81,"3","0","60","A5","2","1"
39269612,10000,10000,0.1499,346.61,11082.36,"1","1","36","C5","1","1"
40888940,20000,20000,0.166172947947948,654.68,6589.54,"2","1","36","B4","3","1"
50519066,12800,12800,0.1699,318.05,2214.27,"6","1","60","D3","4","1"
39681083,35000,35000,0.166172947947948,899.09,9853.94,"1","1","60","E1","4","1"
